id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,start,end,time,date,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,emoji,extra
module:imports/startup/server/exportsServer.js,imports/startup/server/exportsServer.js,imports/startup/server/exportsServer.js,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/startup/server/exportsServer.js"",""label"":""imports/startup/server/exportsServer.js"",""type"":""module"",""exports"":[],""functionCount"":1,""hasDefaultExport"":false,""errors"":[]}"
module:imports/startup/server/index.js,imports/startup/server/index.js,imports/startup/server/index.js,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/startup/server/index.js"",""label"":""imports/startup/server/index.js"",""type"":""module"",""exports"":[],""functionCount"":0,""hasDefaultExport"":false,""errors"":[]}"
module:imports/templates/server-template.js,imports/templates/server-template.js,imports/templates/server-template.js,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/templates/server-template.js"",""label"":""imports/templates/server-template.js"",""type"":""module"",""exports"":[],""functionCount"":0,""hasDefaultExport"":false,""errors"":[]}"
module:imports/ui/App.jsx,imports/ui/App.jsx,imports/ui/App.jsx,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/ui/App.jsx"",""label"":""imports/ui/App.jsx"",""type"":""module"",""exports"":[],""functionCount"":1,""hasDefaultExport"":false,""errors"":[]}"
module:imports/ui/Hello.jsx,imports/ui/Hello.jsx,imports/ui/Hello.jsx,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/ui/Hello.jsx"",""label"":""imports/ui/Hello.jsx"",""type"":""module"",""exports"":[],""functionCount"":2,""hasDefaultExport"":false,""errors"":[]}"
module:imports/ui/Info.jsx,imports/ui/Info.jsx,imports/ui/Info.jsx,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/ui/Info.jsx"",""label"":""imports/ui/Info.jsx"",""type"":""module"",""exports"":[],""functionCount"":1,""hasDefaultExport"":false,""errors"":[]}"
module:imports/ui/components/ErrorBoundary.jsx,imports/ui/components/ErrorBoundary.jsx,imports/ui/components/ErrorBoundary.jsx,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/ui/components/ErrorBoundary.jsx"",""label"":""imports/ui/components/ErrorBoundary.jsx"",""type"":""module"",""exports"":[],""functionCount"":0,""hasDefaultExport"":true,""errors"":[]}"
module:imports/ui/components/ImportAllModal.jsx,imports/ui/components/ImportAllModal.jsx,imports/ui/components/ImportAllModal.jsx,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/ui/components/ImportAllModal.jsx"",""label"":""imports/ui/components/ImportAllModal.jsx"",""type"":""module"",""exports"":[""ImportAllModal""],""functionCount"":11,""hasDefaultExport"":true,""errors"":[]}"
module:imports/ui/components/ImportCsvModal.jsx,imports/ui/components/ImportCsvModal.jsx,imports/ui/components/ImportCsvModal.jsx,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/ui/components/ImportCsvModal.jsx"",""label"":""imports/ui/components/ImportCsvModal.jsx"",""type"":""module"",""exports"":[],""functionCount"":0,""hasDefaultExport"":true,""errors"":[]}"
module:imports/ui/components/SelectionPanel/SelectionPanel.jsx,imports/ui/components/SelectionPanel/SelectionPanel.jsx,imports/ui/components/SelectionPanel/SelectionPanel.jsx,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/ui/components/SelectionPanel/SelectionPanel.jsx"",""label"":""imports/ui/components/SelectionPanel/SelectionPanel.jsx"",""type"":""module"",""exports"":[""SelectionPanel""],""functionCount"":6,""hasDefaultExport"":true,""errors"":[]}"
module:imports/ui/components/SidePanel/PanelSettings.jsx,imports/ui/components/SidePanel/PanelSettings.jsx,imports/ui/components/SidePanel/PanelSettings.jsx,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/ui/components/SidePanel/PanelSettings.jsx"",""label"":""imports/ui/components/SidePanel/PanelSettings.jsx"",""type"":""module"",""exports"":[""PanelSettings""],""functionCount"":1,""hasDefaultExport"":true,""errors"":[]}"
module:imports/ui/components/SidePanel/SidePanelWrapper.jsx,imports/ui/components/SidePanel/SidePanelWrapper.jsx,imports/ui/components/SidePanel/SidePanelWrapper.jsx,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/ui/components/SidePanel/SidePanelWrapper.jsx"",""label"":""imports/ui/components/SidePanel/SidePanelWrapper.jsx"",""type"":""module"",""exports"":[""SidePanelWrapper""],""functionCount"":2,""hasDefaultExport"":true,""errors"":[]}"
module:imports/ui/components/SidePanel/geoMapOptions/GeoMapOptions.jsx,imports/ui/components/SidePanel/geoMapOptions/GeoMapOptions.jsx,imports/ui/components/SidePanel/geoMapOptions/GeoMapOptions.jsx,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/ui/components/SidePanel/geoMapOptions/GeoMapOptions.jsx"",""label"":""imports/ui/components/SidePanel/geoMapOptions/GeoMapOptions.jsx"",""type"":""module"",""exports"":[""GeoMapOptions""],""functionCount"":2,""hasDefaultExport"":true,""errors"":[]}"
module:imports/ui/components/SidePanel/networkOptions/NetworkOptions.jsx,imports/ui/components/SidePanel/networkOptions/NetworkOptions.jsx,imports/ui/components/SidePanel/networkOptions/NetworkOptions.jsx,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/ui/components/SidePanel/networkOptions/NetworkOptions.jsx"",""label"":""imports/ui/components/SidePanel/networkOptions/NetworkOptions.jsx"",""type"":""module"",""exports"":[""NetworkOptions""],""functionCount"":2,""hasDefaultExport"":true,""errors"":[]}"
module:imports/ui/components/SidePanel/panelSelector/PanelSelector.jsx,imports/ui/components/SidePanel/panelSelector/PanelSelector.jsx,imports/ui/components/SidePanel/panelSelector/PanelSelector.jsx,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/ui/components/SidePanel/panelSelector/PanelSelector.jsx"",""label"":""imports/ui/components/SidePanel/panelSelector/PanelSelector.jsx"",""type"":""module"",""exports"":[""PanelSelector""],""functionCount"":2,""hasDefaultExport"":true,""errors"":[]}"
