source_package,count
octave-abi-59,43
python-distro,43
qtpim-opensource-src,43
r-cran-foreach,43
rocm-hipamd,43
ros-image-common,43
x11-utils,43
console-bridge,42
debian-junior,42
dkms,42
enchant-2,42
geany-abi-18688,42
grpc,42
haskell-case-insensitive,42
haskell-resourcet,42
httpcomponents-client,42
jackd-defaults,42
kiconthemes,42
libcommons-codec-java,42
libghc-tagged-dev-0.8.8-43686,42
libghc-tagged-prof-0.8.8-43686,42
libhandy-1,42
libopencl1,42
librdf-trine-perl,42
networkx,42
python-netaddr,42
python-openstackclient,42
python-oslo.concurrency,42
python-webob,42
qca2,42
rcolorbrewer,42
tryton-modules-account-invoice,42
xorg,42
zenity,42
bc,41
epiphany-browser,41
fluidsynth,41
fonts-liberation,41
fungw,41
gedit,41
haskell-data-default,41
haskell-utf8-string,41
iputils,41
kf6-kcalendarcore,41
kf6-kjobwidgets,41
kidentitymanagement,41
libbpf,41
librust-sha2-0.10+default-dev,41
netpbm-free,41
python-apt,41
python-cffi,41
ruby-nokogiri,41
slang2,41
syslinux,41
syslog-ng,41
vorbis-tools,41
apache-log4j1.2,40
clutter-1.0,40
devscripts,40
eclipse-jdt-core,40
fenics-dolfinx,40
golang-gopkg-yaml.v3,40
initramfs-tools,40
kf6-kstatusnotifieritem,40
libfile-homedir-perl,40
libghc-case-insensitive-dev-1.2.1.0-94a09,40
libkpim6akonadicore6-24.12,40
librust-time-0.3+default-dev,40
modemmanager,40
pimcommon,40
plasma-workspace,40
pyjwt,40
python-argcomplete,40
python-decorator,40
python-idna,40
python-markdown,40
rustc,40
scikit-learn,40
svxlink,40
texinfo,40
bootstrap-html,39
cairomm,39
fonttools,39
freeipmi,39
haskell-quickcheck,39
libdbd-pg-perl,39
libghc-case-insensitive-prof-1.2.1.0-94a09,39
libgit2,39
liblwp-protocol-https-perl,39
libusb,39
lsb-release-minimal,39
neutron,39
node-debug,39
node-jss,39
node-readable-stream,39
nordugrid-arc,39
pangomm,39
parted,39
pdf-viewer,39
pike8.0,39
pmdk,39
ros-nodelet-core,39
ros2-colcon-core,39
ruby-rack,39
scalapack,39
sgml-base,39
tryton-modules-currency,39
debian-astro,38
gnat-14-ade93c16,38
haskell-network-uri,38
hidapi,38
icu4j,38
java11-runtime,38
jaxb,38
junit4,38
lazarus,38
libcommons-cli-java,38
libghc-data-default-dev-0.7.1.2-6e275,38
libghc-data-default-prof-0.7.1.2-6e275,38
libgphoto2,38
libmojolicious-perl,38
librust-percent-encoding-2+default-dev,38
librust-walkdir-2+default-dev,38
lm-sensors,38
pycryptodome,38
